Source;Target;weight;Type
u1;m2191;1;Undirected
u1;m2234;24;Undirected
u1;m2241;1;Undirected
u1;m2452;1;Undirected
u1;m2563;83;Undirected
u1;m2608;1;Undirected
u1;m271;3;Undirected
u1;m2761;18;Undirected
u1;m2797;1;Undirected
u1;m2799;2;Undirected
u1;m2840;3;Undirected
u1;m2936;1;Undirected
u1;m2956;52;Undirected
u1;m2997;1;Undirected
u1;m3019;11;Undirected
u1;m3231;1;Undirected
u1;m3316;9;Undirected
u1;m3505;15;Undirected
u1;m3542;1;Undirected
u1;m3554;3;Undirected
u1;m3570;3;Undirected
u1;m3759;2;Undirected
u1;m3792;1;Undirected
u1;m3967;1;Undirected
u1;m397;3;Undirected
u1;m4016;16;Undirected
u1;m4062;2;Undirected
u1;m4250;4;Undirected
u1;m4333;3;Undirected
u1;m4481;21;Undirected
u1;m4591;4;Undirected
u1;m4647;214;Undirected
u1;m47;1;Undirected
u1;m4716;1;Undirected
u1;m4968;5;Undirected
u1;m4998;5;Undirected
u1;m5083;3;Undirected
u1;m5110;2;Undirected
u1;m5156;1;Undirected
u1;m5201;9;Undirected
u1;m5275;1;Undirected
u1;m5370;3;Undirected
u1;m5399;1;Undirected
u1;m5488;1;Undirected
u1;m560;1;Undirected
u1;m5705;6;Undirected
u1;m5762;1;Undirected
u1;m581;1;Undirected
u1;m5870;1;Undirected
u1;m5925;1;Undirected
u1;m5947;33;Undirected
u1;m6076;1;Undirected
u1;m6078;16;Undirected
u1;m6125;1;Undirected
u1;m6159;3;Undirected
u1;m6240;5;Undirected
u1;m6455;37;Undirected
u1;m6482;1;Undirected
u1;m6523;13;Undirected
u1;m6598;99;Undirected
u1;m7006;2;Undirected
u1;m7223;1;Undirected
u1;m7532;26;Undirected
u1;m7880;1;Undirected
u1;m8077;1;Undirected
u1;m8154;78;Undirected
u1;m8169;1;Undirected
u1;m8173;3;Undirected
u1;m87;3;Undirected
u1;m877;24;Undirected
u1;m8813;2;Undirected
u1;m8823;2;Undirected
u1;m8959;40;Undirected
u1;m9211;2;Undirected
u1;m9339;1;Undirected
u1;m9344;4;Undirected
u1;m9349;129;Undirected
u1;m9381;1;Undirected
u1;m9405;10;Undirected
u1;m9485;1;Undirected
u1;m9595;1;Undirected
u1;m9615;4;Undirected
u1;m9658;2;Undirected
u1;m9843;1;Undirected
u1;m9850;3;Undirected
u1;m9882;2;Undirected
u10;m10240;1;Undirected
u10;m103;1;Undirected
u10;m10453;2;Undirected
u10;m10646;1;Undirected
u10;m10688;3;Undirected
u10;m10751;33;Undirected
u10;m1118;4;Undirected
u10;m1283;2;Undirected
u10;m1462;4;Undirected
u10;m1471;7;Undirected
u10;m1485;5;Undirected
u10;m1719;5;Undirected
u10;m1856;52;Undirected
u10;m1896;25;Undirected
u10;m2015;3;Undirected
u10;m2052;67;Undirected
u10;m2119;32;Undirected
u10;m2146;42;Undirected
u10;m2148;5;Undirected
u10;m2179;4;Undirected
u10;m2234;2;Undirected
u10;m2241;5;Undirected
u10;m2379;1;Undirected
u10;m2424;3;Undirected
u10;m2600;2;Undirected
u10;m2655;1;Undirected
u10;m2684;5;Undirected
u10;m2771;1;Undirected
u10;m2775;4;Undirected
u10;m2815;11;Undirected
u10;m2956;12;Undirected
u10;m2974;1;Undirected
u10;m2997;9;Undirected
u10;m3254;3;Undirected
u10;m3286;36;Undirected
u10;m3470;6;Undirected
u10;m3505;4;Undirected
u10;m3542;2;Undirected
u10;m3570;3;Undirected
u10;m3829;3;Undirected
u10;m3854;1;Undirected
u10;m3864;1;Undirected
u10;m397;3;Undirected
u10;m3984;1;Undirected
u10;m4250;4;Undirected
u10;m440;1;Undirected
u10;m4468;2;Undirected
u10;m4693;66;Undirected
u10;m4823;77;Undirected
u10;m4925;2;Undirected
u10;m4940;1;Undirected
u10;m4946;6;Undirected
u10;m4968;3;Undirected
u10;m5083;1;Undirected
u10;m5110;4;Undirected
u10;m5233;16;Undirected
u10;m5247;24;Undirected
u10;m5275;1;Undirected
u10;m5370;3;Undirected
u10;m5488;38;Undirected
u10;m5526;2;Undirected
u10;m5541;4;Undirected
u10;m560;1;Undirected
u10;m5705;3;Undirected
u10;m5833;2;Undirected
u10;m5925;18;Undirected
u10;m6076;1;Undirected
u10;m6159;3;Undirected
u10;m6266;7;Undirected
u10;m6307;5;Undirected
u10;m6389;3;Undirected
u10;m644;1;Undirected
u10;m6502;1;Undirected
u10;m6523;31;Undirected
u10;m6598;113;Undirected
u10;m676;44;Undirected
u10;m6814;104;Undirected
u10;m7006;1;Undirected
u10;m7202;15;Undirected
u10;m7552;95;Undirected
u10;m7679;1;Undirected
u10;m7702;1;Undirected
u10;m7830;1;Undirected
u10;m7866;2;Undirected
u10;m7874;5;Undirected
u10;m7901;1;Undirected
u10;m7955;1;Undirected
u10;m8154;1;Undirected
u10;m8173;79;Undirected
u10;m8481;1;Undirected
u10;m8706;18;Undirected
u10;m8712;2;Undirected
u10;m8720;3;Undirected
u10;m9211;4;Undirected
u10;m9237;1;Undirected
u10;m9344;34;Undirected
u10;m9363;1;Undirected
u10;m9368;1;Undirected
u10;m9410;9;Undirected
u10;m9480;1;Undirected
u10;m9591;3;Undirected
u10;m9627;2;Undirected
u10;m9726;1;Undirected
u10;m9862;6;Undirected
u100;m10276;3;Undirected
u100;m10473;2;Undirected
u100;m10530;4;Undirected
u100;m1180;3;Undirected
u100;m1471;1;Undirected
u100;m2008;3;Undirected
u100;m2015;1;Undirected
u100;m2148;1;Undirected
u100;m2241;5;Undirected
u100;m2424;11;Undirected
u100;m2483;1;Undirected
u100;m2488;1;Undirected
u100;m2956;5;Undirected
u100;m2974;1;Undirected
u100;m3041;1;Undirected
u100;m3316;4;Undirected
u100;m3505;2;Undirected
u100;m3554;1;Undirected
u100;m3570;2;Undirected
u100;m3705;1;Undirected
u100;m3757;1;Undirected
u100;m4221;1;Undirected
u100;m440;1;Undirected
u100;m4539;1;Undirected
u100;m4564;4;Undirected
u100;m5083;1;Undirected
u100;m5101;1;Undirected
u100;m5247;1;Undirected
u100;m5283;4;Undirected
u100;m537;8;Undirected
u100;m5488;2;Undirected
u100;m5548;2;Undirected
u100;m5613;2;Undirected
u100;m5618;1;Undirected
u100;m571;3;Undirected
u100;m6143;3;Undirected
u100;m6159;3;Undirected
u100;m6236;1;Undirected
u100;m6389;1;Undirected
u100;m6455;15;Undirected
u100;m6523;5;Undirected
u100;m6648;4;Undirected
u100;m691;2;Undirected
u100;m7393;1;Undirected
u100;m7403;1;Undirected
u100;m7702;1;Undirected
u100;m7725;1;Undirected
u100;m7874;1;Undirected
u100;m7967;1;Undirected
u100;m8016;1;Undirected
u100;m8501;1;Undirected
u100;m8720;1;Undirected
u100;m8786;2;Undirected
u100;m8799;6;Undirected
u100;m8985;1;Undirected
u100;m8988;1;Undirected
u100;m9006;1;Undirected
u100;m9391;4;Undirected
u100;m9538;1;Undirected
u100;m9781;3;Undirected
u100;m9850;3;Undirected
u100;m9882;1;Undirected
u101;m1;1;Undirected
u101;m10751;1;Undirected
u101;m1118;1;Undirected
u101;m1283;2;Undirected
u101;m1330;4;Undirected
u101;m1451;1;Undirected
u101;m1502;7;Undirected
u101;m1588;180;Undirected
u101;m1933;7;Undirected
u101;m2015;1;Undirected
u101;m2148;1;Undirected
u101;m2234;1;Undirected
u101;m2241;21;Undirected
u101;m2271;5;Undirected
u101;m2640;1;Undirected
u101;m2681;10;Undirected
u101;m2956;345;Undirected
u101;m3111;1;Undirected
u101;m3211;6;Undirected
u101;m3316;1;Undirected
u101;m3542;1;Undirected
u101;m3767;72;Undirected
u101;m4062;1;Undirected
u101;m4064;2;Undirected
u101;m4189;3;Undirected
u101;m4250;9;Undirected
u101;m4569;4;Undirected
u101;m4647;14;Undirected
u101;m4823;90;Undirected
u101;m4928;1;Undirected
u101;m5068;7;Undirected
u101;m5083;1;Undirected
u101;m5110;2;Undirected
u101;m514;2;Undirected
u101;m5283;18;Undirected
u101;m5488;44;Undirected
u101;m616;37;Undirected
u101;m6252;8;Undirected
u101;m6384;1;Undirected
u101;m6425;14;Undirected
u101;m6455;78;Undirected
u101;m6523;14;Undirected
u101;m6598;63;Undirected
u101;m6775;2;Undirected
u101;m7006;2;Undirected
u101;m7274;1;Undirected
u101;m7293;23;Undirected
u101;m7528;6;Undirected
u101;m7563;2;Undirected
u101;m7874;6;Undirected
u101;m8173;4;Undirected
u101;m8495;1;Undirected
u101;m8684;20;Undirected
u101;m87;4;Undirected
u101;m874;3;Undirected
u101;m8742;1;Undirected
u101;m8823;1;Undirected
u101;m8834;1;Undirected
u101;m8952;8;Undirected
u101;m9021;1;Undirected
u101;m9022;7;Undirected
u101;m9105;1;Undirected
u101;m9211;4;Undirected
u101;m9276;3;Undirected
u101;m9321;88;Undirected
u101;m9349;2;Undirected
u101;m9368;14;Undirected
u101;m9591;1;Undirected
u101;m9615;6;Undirected
u101;m967;10;Undirected
u102;m10044;1;Undirected
u102;m10396;20;Undirected
u102;m10440;1;Undirected
u102;m10484;49;Undirected
u102;m10637;3;Undirected
u102;m10751;22;Undirected
u102;m1118;3;Undirected
u102;m1283;18;Undirected
u102;m1288;7;Undirected
u102;m1311;5;Undirected
u102;m1342;2;Undirected
u102;m1471;3;Undirected
u102;m1485;17;Undirected
u102;m1912;1;Undirected
u102;m1929;88;Undirected
u102;m194;1;Undirected
u102;m1989;2;Undirected
u102;m2015;21;Undirected
u102;m21;4;Undirected
u102;m2234;31;Undirected
u102;m2237;1;Undirected
u102;m2293;3;Undirected
u102;m2424;2;Undirected
u102;m2446;5;Undirected
u102;m2456;7;Undirected
u102;m2548;3;Undirected
u102;m2655;7;Undirected
u102;m2784;1;Undirected
u102;m2920;1;Undirected
u102;m2956;56;Undirected
u102;m2974;1;Undirected
u102;m3279;1;Undirected
u102;m3316;26;Undirected
u102;m3412;1;Undirected
u102;m3468;2;Undirected
u102;m3470;21;Undirected
u102;m3505;5;Undirected
u102;m3554;1;Undirected
u102;m3570;21;Undirected
u102;m3599;1;Undirected
u102;m3757;2;Undirected
u102;m3864;1;Undirected
u102;m4016;1;Undirected
u102;m4224;18;Undirected
u102;m4250;1;Undirected
u102;m4347;20;Undirected
u102;m4491;3;Undirected
u102;m4506;5;Undirected
u102;m4693;4;Undirected
u102;m4823;41;Undirected
u102;m4839;1;Undirected
u102;m4864;4;Undirected
u102;m4925;1;Undirected
u102;m4968;45;Undirected
u102;m4970;2;Undirected
u102;m4998;72;Undirected
u102;m5083;1;Undirected
u102;m5110;3;Undirected
u102;m5212;1;Undirected
u102;m5247;2;Undirected
u102;m5488;1;Undirected
u102;m5574;1;Undirected
u102;m5662;6;Undirected
u102;m5705;3;Undirected
u102;m5837;2;Undirected
u102;m5912;1;Undirected
u102;m5925;2;Undirected
u102;m6076;3;Undirected
u102;m6159;2;Undirected
u102;m6184;1;Undirected
u102;m619;7;Undirected
u102;m6455;51;Undirected
u102;m6523;33;Undirected
u102;m6598;105;Undirected
u102;m6603;23;Undirected
u102;m6716;1;Undirected
u102;m6722;1;Undirected
u102;m6997;7;Undirected
u102;m7124;12;Undirected
u102;m7131;30;Undirected
u102;m7414;1;Undirected
u102;m7489;1;Undirected
u102;m7528;1;Undirected
u102;m7705;7;Undirected
u102;m7777;3;Undirected
u102;m7874;5;Undirected
u102;m8154;5;Undirected
u102;m8173;1;Undirected
u102;m8289;1;Undirected
u102;m8445;1;Undirected
u102;m8481;3;Undirected
u102;m8614;27;Undirected
u102;m8682;1;Undirected
u102;m874;6;Undirected
u102;m8823;2;Undirected
u102;m8900;1;Undirected
u102;m8959;24;Undirected
u102;m8983;2;Undirected
u102;m9006;14;Undirected
u102;m9014;1;Undirected
u102;m9211;3;Undirected
u102;m9339;1;Undirected
u102;m9344;26;Undirected
u102;m9503;2;Undirected
u102;m9591;1;Undirected
u102;m963;2;Undirected
u102;m9720;3;Undirected
u103;m10074;1;Undirected
u103;m10163;2;Undirected
u103;m10240;1;Undirected
u103;m1025;10;Undirected
u103;m10372;2;Undirected
u103;m10440;1;Undirected
u103;m1045;1;Undirected
u103;m10616;6;Undirected
u103;m1073;2;Undirected
u103;m10751;2;Undirected
u103;m1283;4;Undirected
u103;m1302;1;Undirected
u103;m1502;2;Undirected
u103;m1572;1;Undirected
u103;m1588;31;Undirected
u103;m1695;2;Undirected
u103;m17;49;Undirected
u103;m1721;3;Undirected
u103;m1989;1;Undirected
u103;m2015;13;Undirected
u103;m2112;2;Undirected
u103;m2115;1;Undirected
u103;m2174;2;Undirected
u103;m2177;1;Undirected
u103;m2207;1;Undirected
u103;m2234;74;Undirected
u103;m2241;107;Undirected
u103;m2286;7;Undirected
u103;m2344;1;Undirected
u103;m2579;8;Undirected
u103;m2815;3;Undirected
u103;m2890;1;Undirected
u103;m2931;9;Undirected
u103;m2956;24;Undirected
u103;m298;2;Undirected
u103;m3020;1;Undirected
u103;m305;112;Undirected
u103;m3286;12;Undirected
u103;m3316;1;Undirected
u103;m3326;19;Undirected
u103;m3470;1;Undirected
u103;m3505;22;Undirected
u103;m3542;2;Undirected
u103;m3554;1;Undirected
u103;m3563;1;Undirected
u103;m3570;3;Undirected
u103;m3864;2;Undirected
u103;m4016;1;Undirected
u103;m4224;1;Undirected
u103;m441;1;Undirected
u103;m4644;16;Undirected
u103;m4693;78;Undirected
u103;m4823;1;Undirected
u103;m4852;3;Undirected
u103;m4998;1;Undirected
u103;m5083;1;Undirected
u103;m5247;2;Undirected
u103;m5283;45;Undirected
u103;m5370;3;Undirected
u103;m5394;1;Undirected
u103;m5420;1;Undirected
u103;m5460;130;Undirected
u103;m5488;4;Undirected
u103;m5498;9;Undirected
u103;m5541;3;Undirected
u103;m560;2;Undirected
u103;m5912;1;Undirected
u103;m5917;10;Undirected
u103;m5925;3;Undirected
u103;m6059;2;Undirected
u103;m6094;14;Undirected
u103;m6273;9;Undirected
u103;m6274;18;Undirected
u103;m6297;1;Undirected
u103;m6325;1;Undirected
u103;m6455;3;Undirected
u103;m6482;1;Undirected
u103;m6487;1;Undirected
u103;m6523;63;Undirected
u103;m6533;1;Undirected
u103;m6587;1;Undirected
u103;m6598;115;Undirected
u103;m6728;1;Undirected
u103;m6929;36;Undirected
u103;m6994;1;Undirected
u103;m7006;1;Undirected
u103;m7201;1;Undirected
u103;m7274;1;Undirected
u103;m7277;9;Undirected
u103;m7393;2;Undirected
u103;m7396;2;Undirected
u103;m7414;2;Undirected
u103;m7421;1;Undirected
u103;m7528;2;Undirected
u103;m7602;2;Undirected
u103;m7679;1;Undirected
u103;m7874;1;Undirected
u103;m8154;102;Undirected
u103;m8173;15;Undirected
u103;m8472;1;Undirected
u103;m8473;1;Undirected
u103;m8684;1;Undirected
u103;m8698;1;Undirected
u103;m874;6;Undirected
u103;m8799;10;Undirected
u103;m8834;2;Undirected
u103;m8959;2;Undirected
u103;m8985;20;Undirected
u103;m9006;20;Undirected
u103;m9054;1;Undirected
u103;m9301;2;Undirected
u103;m9339;3;Undirected
u103;m9349;1;Undirected
u103;m9368;22;Undirected
u103;m9405;3;Undirected
u103;m9484;2;Undirected
u103;m9563;2;Undirected
u103;m9591;6;Undirected
u103;m9615;11;Undirected
u103;m9650;2;Undirected
u103;m9871;2;Undirected
u103;m9875;1;Undirected
u104;m1100;3;Undirected
u104;m1283;1;Undirected
u104;m1485;5;Undirected
u104;m1958;2;Undirected
u104;m2015;1;Undirected
u104;m2115;1;Undirected
u104;m2139;5;Undirected
u104;m2234;1;Undirected
u104;m2654;2;Undirected
u104;m2956;3;Undirected
u104;m2981;5;Undirected
u104;m3068;3;Undirected
u104;m3074;8;Undirected
u104;m3505;2;Undirected
u104;m3570;1;Undirected
u104;m363;1;Undirected
u104;m3669;1;Undirected
u104;m4187;2;Undirected
u104;m4333;3;Undirected
u104;m4468;20;Undirected
u104;m4693;21;Undirected
u104;m4933;4;Undirected
u104;m5013;3;Undirected
u104;m5083;1;Undirected
u104;m5110;1;Undirected
u104;m514;1;Undirected
u104;m5488;11;Undirected
u104;m6410;2;Undirected
u104;m6523;4;Undirected
u104;m6598;3;Undirected
u104;m6894;26;Undirected
u104;m7006;1;Undirected
u104;m7036;5;Undirected
u104;m8069;1;Undirected
u104;m8153;1;Undirected
u104;m8246;1;Undirected
u104;m874;3;Undirected
u104;m8834;2;Undirected
u104;m8985;5;Undirected
u104;m9006;4;Undirected
u104;m9211;2;Undirected
u104;m9344;3;Undirected
u104;m9368;12;Undirected
u104;m9445;1;Undirected
u104;m9591;1;Undirected
u104;m991;3;Undirected
u105;m1008;4;Undirected
u105;m1019;1;Undirected
u105;m1033;3;Undirected
u105;m10361;8;Undirected
u105;m10440;2;Undirected
u105;m10637;47;Undirected
u105;m10669;27;Undirected
u105;m10714;3;Undirected
u105;m1283;2;Undirected
u105;m1308;1;Undirected
u105;m1408;1;Undirected
u105;m1575;3;Undirected
u105;m1834;2;Undirected
u105;m2103;1;Undirected
u105;m2127;23;Undirected
u105;m2174;12;Undirected
u105;m2234;12;Undirected
u105;m2241;11;Undirected
u105;m2286;1;Undirected
u105;m2329;5;Undirected
u105;m2424;2;Undirected
u105;m2526;1;Undirected
u105;m2681;7;Undirected
u105;m2754;2;Undirected
u105;m2935;22;Undirected
u105;m2956;21;Undirected
u105;m2974;2;Undirected
u105;m2977;2;Undirected
u105;m3083;2;Undirected
u105;m3231;1;Undirected
u105;m3286;2;Undirected
u105;m3316;1;Undirected
u105;m3375;17;Undirected
u105;m3505;6;Undirected
u105;m3556;5;Undirected
u105;m3758;4;Undirected
u105;m3855;12;Undirected
u105;m3967;1;Undirected
u105;m4250;2;Undirected
u105;m4316;48;Undirected
u105;m4342;1;Undirected
u105;m4461;1;Undirected
u105;m4468;3;Undirected
u105;m4582;2;Undirected
u105;m463;2;Undirected
u105;m4673;5;Undirected
u105;m4693;113;Undirected
u105;m4704;2;Undirected
u105;m4823;3;Undirected
u105;m4852;1;Undirected
u105;m4925;1;Undirected
u105;m4968;1;Undirected
u105;m5083;2;Undirected
u105;m5110;4;Undirected
u105;m5133;1;Undirected
u105;m5370;3;Undirected
u105;m5412;2;Undirected
u105;m5488;2;Undirected
u105;m5526;1;Undirected
u105;m5548;1;Undirected
u105;m560;1;Undirected
u105;m5613;4;Undirected
u105;m5699;1;Undirected
u105;m5705;3;Undirected
u105;m5925;12;Undirected
u105;m6004;1;Undirected
u105;m644;1;Undirected
u105;m6455;1;Undirected
u105;m6523;14;Undirected
u105;m6539;1;Undirected
u105;m6598;115;Undirected
u105;m6608;3;Undirected
u105;m6763;1;Undirected
u105;m6879;2;Undirected
u105;m6954;12;Undirected
u105;m7006;1;Undirected
u105;m723;1;Undirected
u105;m7274;2;Undirected
u105;m7528;11;Undirected
u105;m7679;1;Undirected
u105;m7830;2;Undirected
u105;m7874;4;Undirected
u105;m7877;3;Undirected
u105;m8154;2;Undirected
u105;m8242;1;Undirected
u105;m8260;1;Undirected
u105;m8445;24;Undirected
u105;m8481;3;Undirected
u105;m8598;5;Undirected
u105;m8607;7;Undirected
u105;m8811;1;Undirected
u105;m8823;1;Undirected
u105;m8985;1;Undirected
u105;m9005;2;Undirected
u105;m9006;1;Undirected
u105;m9165;1;Undirected
u105;m922;5;Undirected
u105;m9339;1;Undirected
u105;m9344;3;Undirected
u105;m9393;1;Undirected
u105;m95;2;Undirected
u105;m9548;5;Undirected
u105;m9615;4;Undirected
u105;m9658;3;Undirected
u106;m10039;3;Undirected
u106;m10251;2;Undirected
u106;m10624;1;Undirected
u106;m10663;5;Undirected
u106;m10845;4;Undirected
u106;m1157;23;Undirected
u106;m1471;3;Undirected
u106;m1701;3;Undirected
u106;m1989;3;Undirected
u106;m2015;5;Undirected
u106;m2174;9;Undirected
u106;m2234;1;Undirected
u106;m2241;4;Undirected
u106;m2286;2;Undirected
u106;m2424;99;Undirected
u106;m2758;1;Undirected
u106;m2815;4;Undirected
u106;m2821;1;Undirected
u106;m2956;32;Undirected
u106;m3036;5;Undirected
u106;m3316;3;Undirected
u106;m3505;5;Undirected
u106;m3542;1;Undirected
u106;m3554;1;Undirected
u106;m3854;1;Undirected
u106;m404;3;Undirected
u106;m4052;1;Undirected
u106;m4170;1;Undirected
u106;m4250;2;Undirected
u106;m4322;8;Undirected
u106;m4693;9;Undirected
u106;m4704;1;Undirected
u106;m4925;1;Undirected
u106;m5030;1;Undirected
u106;m5110;2;Undirected
u106;m5467;4;Undirected
u106;m5488;14;Undirected
u106;m5497;7;Undirected
u106;m560;2;Undirected
u106;m5640;1;Undirected
u106;m5705;3;Undirected
u106;m5912;1;Undirected
u106;m5927;5;Undirected
u106;m6076;2;Undirected
u106;m6372;3;Undirected
u106;m644;1;Undirected
u106;m6455;84;Undirected
u106;m6482;1;Undirected
u106;m6523;21;Undirected
u106;m6597;1;Undirected
u106;m6598;1;Undirected
u106;m6890;2;Undirected
u106;m6912;1;Undirected
u106;m7006;2;Undirected
u106;m7274;3;Undirected
u106;m7528;5;Undirected
u106;m7552;1;Undirected
u106;m7694;1;Undirected
u106;m7874;5;Undirected
u106;m8029;11;Undirected
u106;m8060;3;Undirected
u106;m8154;2;Undirected
u106;m8481;3;Undirected
u106;m8609;1;Undirected
u106;m8628;1;Undirected
u106;m8643;2;Undirected
u106;m8812;3;Undirected
u106;m8924;8;Undirected
u106;m8970;5;Undirected
u106;m8983;2;Undirected
u106;m9032;3;Undirected
u106;m9211;3;Undirected
u106;m9308;4;Undirected
u106;m9368;16;Undirected
u106;m9484;2;Undirected
u106;m9524;2;Undirected
u106;m9555;1;Undirected
u106;m9591;2;Undirected
u106;m9615;9;Undirected
u106;m9658;1;Undirected
u106;m9862;3;Undirected
u107;m10161;26;Undirected
u107;m10440;3;Undirected
u107;m10494;2;Undirected
u107;m10580;1;Undirected
u107;m10751;15;Undirected
u107;m1096;11;Undirected
u107;m1283;9;Undirected
u107;m2234;4;Undirected
u107;m2241;21;Undirected
u107;m2286;2;Undirected
u107;m254;10;Undirected
u107;m2541;1;Undirected
u107;m2655;15;Undirected
u107;m2673;3;Undirected
u107;m2956;51;Undirected
u107;m2997;21;Undirected
u107;m3316;14;Undirected
u107;m3505;17;Undirected
u107;m3570;3;Undirected
u107;m375;13;Undirected
u107;m3757;5;Undirected
u107;m3758;9;Undirected
u107;m3777;9;Undirected
u107;m4064;1;Undirected
u107;m4479;1;Undirected
u107;m5083;3;Undirected
u107;m517;5;Undirected
u107;m5436;1;Undirected
u107;m560;2;Undirected
u107;m5618;1;Undirected
u107;m6076;1;Undirected
u107;m6455;33;Undirected
u107;m6523;16;Undirected
u107;m6598;44;Undirected
u107;m6870;19;Undirected
u107;m7274;4;Undirected
u107;m731;3;Undirected
u107;m7530;2;Undirected
u107;m7839;4;Undirected
u107;m7874;1;Undirected
u107;m8154;18;Undirected
u107;m8173;12;Undirected
u107;m8695;8;Undirected
u107;m8914;19;Undirected
u107;m9006;26;Undirected
u107;m9339;2;Undirected
u107;m9344;7;Undirected
u107;m9540;21;Undirected
u107;m955;16;Undirected
u107;m9615;11;Undirected
u107;m9652;1;Undirected
u107;m9658;1;Undirected
u108;m10272;1;Undirected
u108;m10706;2;Undirected
u108;m1115;4;Undirected
u108;m1118;1;Undirected
u108;m1563;1;Undirected
u108;m1854;3;Undirected
u108;m1907;19;Undirected
u108;m2156;1;Undirected
u108;m2234;8;Undirected
u108;m2241;6;Undirected
u108;m2279;9;Undirected
u108;m2412;1;Undirected
u108;m2424;71;Undirected
u108;m2472;1;Undirected
u108;m2797;4;Undirected
u108;m2920;1;Undirected
u108;m2956;31;Undirected
u108;m2974;1;Undirected
u108;m3070;3;Undirected
u108;m3219;1;Undirected
u108;m3316;5;Undirected
u108;m3409;4;Undirected
u108;m3505;3;Undirected
u108;m3536;2;Undirected
u108;m3554;2;Undirected
u108;m374;28;Undirected
u108;m3758;2;Undirected
u108;m3777;1;Undirected
u108;m3864;23;Undirected
u108;m397;3;Undirected
u108;m4197;1;Undirected
u108;m4521;9;Undirected
u108;m4693;68;Undirected
u108;m4925;1;Undirected
u108;m4998;6;Undirected
u108;m5265;1;Undirected
u108;m5275;1;Undirected
u108;m5283;4;Undirected
u108;m5624;2;Undirected
u108;m5741;3;Undirected
u108;m5748;3;Undirected
u108;m5860;1;Undirected
u108;m5925;1;Undirected
u108;m6455;7;Undirected
u108;m6523;8;Undirected
u108;m6598;9;Undirected
u108;m6648;1;Undirected
u108;m6890;4;Undirected
u108;m781;2;Undirected
u108;m7874;1;Undirected
u108;m8060;3;Undirected
u108;m8154;34;Undirected
u108;m8173;5;Undirected
u108;m8526;3;Undirected
u108;m8604;1;Undirected
u108;m8823;1;Undirected
u108;m9032;6;Undirected
u108;m9214;2;Undirected
u108;m9238;1;Undirected
u108;m9253;1;Undirected
u108;m9503;1;Undirected
u108;m9882;23;Undirected
u109;m10039;3;Undirected
u109;m10112;1;Undirected
u109;m10193;1;Undirected
u109;m10200;1;Undirected
u109;m10302;1;Undirected
u109;m10517;1;Undirected
u109;m10640;3;Undirected
u109;m10751;4;Undirected
u109;m1118;2;Undirected
u109;m1402;4;Undirected
u109;m1502;8;Undirected
u109;m1792;2;Undirected
u109;m1872;1;Undirected
u109;m191;1;Undirected
u109;m1910;5;Undirected
u109;m1925;1;Undirected
u109;m1989;3;Undirected
u109;m2115;1;Undirected
u109;m2424;29;Undirected
u109;m2872;1;Undirected
u109;m2920;2;Undirected
u109;m2956;3;Undirected
u109;m3003;3;Undirected
u109;m3069;1;Undirected
u109;m3098;1;Undirected
u109;m3157;6;Undirected
u109;m3373;9;Undirected
u109;m3470;1;Undirected
u109;m3570;2;Undirected
u109;m3777;2;Undirected
u109;m3892;1;Undirected
u109;m397;3;Undirected
u109;m4067;2;Undirected
u109;m4224;6;Undirected
