Id;m_min;m_max;m_mean;m_std;victim;Cat;Label;victim_n
m10027;80.28;80.28;80.28;;No;Institution;m10027;0
m10028;129.72;129.72;129.72;;No;Institution;m10028;0
m10029;18.91;26.35;22.63;5.26;No;Institution;m10029;0
m1003;2.67;10.02;5.21;4.17;No;Institution;m1003;0
m10030;13.28;163.53;99.33;38.9;No;Institution;m10030;0
m10031;227.09;232.53;229.81;3.85;No;Institution;m10031;0
m10032;4.56;90.96;15.55;15.65;No;Institution;m10032;0
m10033;120.32;142.7;131.51;15.83;No;Institution;m10033;0
m10034;49.24;72.34;60.79;16.33;No;Institution;m10034;0
m10035;1.3;54.79;17.03;18.24;No;Institution;m10035;0
m10036;15.6;15.6;15.6;;No;Institution;m10036;0
m10037;49.24;49.24;49.24;;No;Institution;m10037;0
m10038;2.8;3.21;3.0;0.29;No;Institution;m10038;0
m10039;-493.0;493.0;65.37;267.82;No;Institution;m10039;0
m1004;185.47;308.5;263.11;67.56;No;Institution;m1004;0
m10040;6.66;6.66;6.66;;No;Institution;m10040;0
m10041;115.7;161.31;138.5;32.25;No;Institution;m10041;0
m10042;30.4;133.78;83.35;43.06;No;Institution;m10042;0
m10043;10.5;13.72;12.36;1.67;No;Institution;m10043;0
m10044;0.67;121.59;48.91;26.1;No;Institution;m10044;0
m10045;41.36;41.36;41.36;;No;Institution;m10045;0
m10046;26.65;381.62;67.33;99.11;No;Institution;m10046;0
m10047;21.39;29.15;25.27;5.49;No;Institution;m10047;0
m10048;35.03;52.22;45.78;9.37;No;Institution;m10048;0
m10049;8.01;59.84;38.43;27.07;No;Institution;m10049;0
m1005;31.08;49.82;39.86;5.5;No;Institution;m1005;0
m10050;51.06;51.06;51.06;;No;Institution;m10050;0
m10051;17.78;47.11;29.91;11.97;No;Institution;m10051;0
m10052;36.47;46.24;41.36;6.91;No;Institution;m10052;0
m10053;11.47;11.47;11.47;;No;Institution;m10053;0
m10054;11.41;101.9;56.63;29.1;No;Institution;m10054;0
m10055;0.38;92.27;10.31;23.68;No;Institution;m10055;0
m10056;11.91;13.31;12.61;0.99;No;Institution;m10056;0
m10057;1.63;371.73;63.46;88.5;No;Institution;m10057;0
m10058;12.23;16.01;14.11;1.33;No;Institution;m10058;0
m10059;20.19;62.53;34.08;19.23;No;Institution;m10059;0
m1006;8.81;8.81;8.81;;No;Institution;m1006;0
m10060;137.54;137.54;137.54;;No;Institution;m10060;0
m10061;0.85;86.14;34.39;23.92;No;Institution;m10061;0
m10062;0.6;55.55;24.58;19.14;No;Institution;m10062;0
m10063;33.4;33.4;33.4;;No;Institution;m10063;0
m10064;19.57;91.13;51.57;24.16;No;Institution;m10064;0
m10065;3.99;128.02;76.9;48.37;No;Institution;m10065;0
m10066;32.94;90.21;72.81;15.4;No;Institution;m10066;0
m10067;138.81;315.26;188.52;45.22;No;Institution;m10067;0
m10068;165.71;165.71;165.71;;No;Institution;m10068;0
m10069;22.68;22.68;22.68;;No;Institution;m10069;0
m1007;255.32;306.02;276.63;26.3;No;Institution;m1007;0
m10070;60.0;73.71;67.13;5.92;No;Institution;m10070;0
m10071;10.83;48.25;19.46;12.33;No;Institution;m10071;0
m10072;3.47;3.47;3.47;;No;Institution;m10072;0
m10073;18.81;19.96;19.38;0.81;No;Institution;m10073;0
m10074;67.2;67.2;67.2;;No;Institution;m10074;0
m10075;35.91;35.91;35.91;;No;Institution;m10075;0
m10076;2.64;2.64;2.64;;No;Institution;m10076;0
m10077;771.12;771.12;771.12;;No;Institution;m10077;0
m10078;7.97;126.16;62.56;35.56;No;Institution;m10078;0
m10079;8.21;8.21;8.21;;No;Institution;m10079;0
m1008;1.92;2.98;2.52;0.53;No;Institution;m1008;0
m10080;8.13;183.92;43.95;40.19;No;Institution;m10080;0
m10081;157.95;233.72;195.83;53.58;No;Institution;m10081;0
m10082;6.11;68.18;41.88;16.92;No;Institution;m10082;0
m10083;173.97;173.97;173.97;;No;Institution;m10083;0
m10084;130.51;130.51;130.51;;No;Institution;m10084;0
m10085;13.08;13.08;13.08;;No;Institution;m10085;0
m10086;1.54;126.98;34.96;61.38;No;Institution;m10086;0
m10087;15.35;189.07;60.37;54.81;No;Institution;m10087;0
m10088;9.42;97.88;53.65;62.55;No;Institution;m10088;0
m10089;37.91;71.22;55.58;8.39;No;Institution;m10089;0
m1009;2.22;67.57;35.11;20.9;No;Institution;m1009;0
m10090;90.6;90.6;90.6;;No;Institution;m10090;0
m10091;24.4;287.85;179.85;137.98;No;Institution;m10091;0
m10092;64.8;69.57;67.72;2.56;No;Institution;m10092;0
m10093;60.85;60.85;60.85;;No;Institution;m10093;0
m10094;2.88;2.88;2.88;;No;Institution;m10094;0
m10095;187.41;365.73;255.92;62.37;No;Institution;m10095;0
m10096;0.24;0.32;0.28;0.03;No;Institution;m10096;0
m10097;66.31;68.64;67.47;1.65;No;Institution;m10097;0
m10098;80.3;80.3;80.3;;No;Institution;m10098;0
m10099;126.05;163.77;142.28;19.4;No;Institution;m10099;0
m101;104.45;137.91;121.18;23.66;No;Institution;m101;0
m1010;4.09;213.9;77.85;71.92;No;Institution;m1010;0
m10100;62.62;62.62;62.62;;No;Institution;m10100;0
m10101;58.1;168.53;114.44;46.22;No;Institution;m10101;0
m10102;0.77;155.47;13.2;24.93;No;Institution;m10102;0
m10103;57.55;57.55;57.55;;No;Institution;m10103;0
m10104;3.15;50.88;11.16;5.77;No;Institution;m10104;0
m10105;120.87;120.87;120.87;;No;Institution;m10105;0
m10106;77.81;77.81;77.81;;No;Institution;m10106;0
m10107;54.32;57.41;56.21;1.66;No;Institution;m10107;0
m10108;48.09;59.23;53.66;7.88;No;Institution;m10108;0
m10109;2.39;18.67;8.54;5.85;No;Institution;m10109;0
m1011;91.35;91.35;91.35;;No;Institution;m1011;0
m10110;1.09;97.32;12.54;17.54;No;Institution;m10110;0
m10111;3.18;110.54;38.32;37.14;No;Institution;m10111;0
m10112;17.32;17.32;17.32;;No;Institution;m10112;0
m10113;2.45;8.09;5.27;3.99;No;Institution;m10113;0
m10114;72.63;72.63;72.63;;No;Institution;m10114;0
m10115;4.85;10.77;8.61;2.22;No;Institution;m10115;0
m10116;102.62;102.62;102.62;;No;Institution;m10116;0
m10117;0.62;0.94;0.78;0.23;No;Institution;m10117;0
m10118;2.84;270.37;31.74;54.78;No;Institution;m10118;0
m10119;0.73;115.53;18.29;25.49;No;Institution;m10119;0
m1012;32.28;34.73;33.5;1.73;No;Institution;m1012;0
m10120;6.6;95.96;51.25;29.71;No;Institution;m10120;0
m10121;1.48;13.08;3.74;2.64;No;Institution;m10121;0
m10122;132.16;152.89;142.52;14.66;No;Institution;m10122;0
m10123;141.97;309.72;204.44;51.32;No;Institution;m10123;0
m10124;13.28;44.42;33.88;8.29;No;Institution;m10124;0
m10125;14.97;14.97;14.97;;No;Institution;m10125;0
m10126;1.66;113.33;57.28;37.58;No;Institution;m10126;0
m10127;58.18;68.76;63.47;7.48;No;Institution;m10127;0
m10128;192.12;254.06;228.43;32.32;No;Institution;m10128;0
m10129;40.42;51.5;44.21;6.31;No;Institution;m10129;0
m1013;70.76;84.41;77.59;9.65;No;Institution;m1013;0
m10130;52.88;52.88;52.88;;No;Institution;m10130;0
m10131;3.38;66.46;41.62;21.74;No;Institution;m10131;0
m10132;46.54;124.11;79.96;22.0;No;Institution;m10132;0
m10133;20.05;23.84;21.38;1.4;No;Institution;m10133;0
m10134;50.13;50.13;50.13;;No;Institution;m10134;0
m10135;69.87;69.87;69.87;;No;Institution;m10135;0
m10136;26.39;70.25;45.71;22.39;No;Institution;m10136;0
m10137;79.36;79.36;79.36;;No;Institution;m10137;0
m10138;19.43;21.02;20.23;1.12;No;Institution;m10138;0
m10139;0.65;215.58;36.02;39.34;No;Institution;m10139;0
m1014;6.43;10.26;9.09;1.56;No;Institution;m1014;0
m10140;31.83;31.83;31.83;;No;Institution;m10140;0
m10141;2.86;3.43;3.14;0.4;No;Institution;m10141;0
m10142;32.78;32.78;32.78;;No;Institution;m10142;0
m10143;70.27;70.27;70.27;;No;Institution;m10143;0
m10144;152.03;152.03;152.03;;No;Institution;m10144;0
m10145;18.57;47.53;27.42;13.73;No;Institution;m10145;0
m10146;25.62;25.62;25.62;;No;Institution;m10146;0
m10147;0.4;66.66;31.24;28.89;No;Institution;m10147;0
m10148;8.29;52.88;30.37;18.93;No;Institution;m10148;0
m10149;116.25;181.11;151.53;32.8;No;Institution;m10149;0
m1015;1.73;82.64;46.5;17.04;No;Institution;m1015;0
m10150;22.18;35.54;28.47;6.41;No;Institution;m10150;0
m10151;16.75;16.75;16.75;;No;Institution;m10151;0
m10152;127.98;127.98;127.98;;No;Institution;m10152;0
m10153;53.81;53.81;53.81;;No;Institution;m10153;0
m10154;11.38;11.38;11.38;;No;Institution;m10154;0
m10155;12.16;110.95;45.54;24.62;No;Institution;m10155;0
m10156;5.18;7.24;6.21;1.46;No;Institution;m10156;0
m10157;308.03;308.03;308.03;;No;Institution;m10157;0
m10158;1.76;2.79;2.15;0.32;No;Institution;m10158;0
m10159;9.85;9.85;9.85;;No;Institution;m10159;0
m1016;765.86;1385.74;1075.8;438.32;Yes;Institution;m1016;1
m10160;3.18;30.5;12.31;15.75;No;Institution;m10160;0
m10161;14.66;31.53;23.13;3.49;No;Institution;m10161;0
m10162;1.68;116.52;12.52;28.26;No;Institution;m10162;0
m10163;12.56;13.81;13.18;0.88;No;Institution;m10163;0
m10164;110.06;110.06;110.06;;No;Institution;m10164;0
m10165;12.54;96.32;40.01;24.4;No;Institution;m10165;0
m10166;104.81;179.19;132.88;18.78;No;Institution;m10166;0
m10167;0.77;64.28;33.65;22.4;No;Institution;m10167;0
m10168;90.69;98.94;94.82;5.83;No;Institution;m10168;0
m10169;27.35;72.64;50.32;12.9;No;Institution;m10169;0
m1017;86.1;186.17;144.55;26.97;No;Institution;m1017;0
m10170;6.77;96.83;18.97;19.42;No;Institution;m10170;0
m10171;22.65;38.16;31.32;4.65;No;Institution;m10171;0
m10172;40.83;40.83;40.83;;No;Institution;m10172;0
m10173;1.49;1.78;1.64;0.21;No;Institution;m10173;0
m10174;145.93;183.3;164.78;18.69;No;Institution;m10174;0
m10175;7.13;45.99;28.19;10.76;No;Institution;m10175;0
m10176;32.83;73.99;55.55;20.91;No;Institution;m10176;0
m10177;25.25;33.84;30.96;3.91;No;Institution;m10177;0
m10178;157.08;232.09;187.72;39.34;No;Institution;m10178;0
m10179;5.14;60.08;25.14;18.77;No;Institution;m10179;0
m1018;11.42;33.57;24.48;4.88;No;Institution;m1018;0
m10180;7.93;7.93;7.93;;No;Institution;m10180;0
m10181;23.34;23.34;23.34;;No;Institution;m10181;0
m10182;113.16;113.16;113.16;;No;Institution;m10182;0
m10183;0.67;292.57;39.98;36.49;Yes;Institution;m10183;1
m10184;95.09;194.4;144.74;70.22;No;Institution;m10184;0
m10185;32.41;72.75;52.7;11.81;No;Institution;m10185;0
m10186;52.59;164.0;97.73;29.96;No;Institution;m10186;0
m10187;13.0;13.0;13.0;;No;Institution;m10187;0
m10188;10.47;15.95;13.55;2.11;No;Institution;m10188;0
m10189;0.77;72.75;17.52;18.3;No;Institution;m10189;0
m1019;20.05;20.05;20.05;;No;Institution;m1019;0
m10190;11.51;13.94;12.72;1.72;No;Institution;m10190;0
m10191;12.06;72.01;44.82;25.62;No;Institution;m10191;0
m10192;141.25;173.03;160.05;14.32;No;Institution;m10192;0
m10193;107.73;119.8;113.76;8.53;No;Institution;m10193;0
m10194;13.11;64.66;24.2;22.65;No;Institution;m10194;0
m10195;56.0;56.0;56.0;;No;Institution;m10195;0
m10196;112.77;112.77;112.77;;No;Institution;m10196;0
m10197;11.57;58.1;21.83;10.79;No;Institution;m10197;0
m10198;5.12;5.96;5.54;0.59;No;Institution;m10198;0
m10199;12.9;368.85;187.6;93.86;No;Institution;m10199;0
m102;28.4;45.07;38.38;7.23;No;Institution;m102;0
m1020;2.61;63.29;28.0;25.03;No;Institution;m1020;0
m10200;30.41;30.41;30.41;;No;Institution;m10200;0
m10201;92.13;143.94;111.93;27.98;No;Institution;m10201;0
m10202;52.84;59.08;56.71;3.38;No;Institution;m10202;0
m10203;1.9;214.03;81.4;69.68;No;Institution;m10203;0
m10204;146.66;146.66;146.66;;No;Institution;m10204;0
m10205;103.92;103.92;103.92;;No;Institution;m10205;0
m10206;35.44;82.24;58.84;33.09;No;Institution;m10206;0
m10207;1.41;58.39;22.19;18.81;No;Institution;m10207;0
m10208;2.32;195.15;76.81;73.03;No;Institution;m10208;0
m10209;206.14;206.14;206.14;;No;Institution;m10209;0
m1021;5.98;13.32;8.84;2.24;No;Institution;m1021;0
m10210;38.02;57.24;48.76;7.18;No;Institution;m10210;0
m10211;42.53;99.33;76.29;16.47;No;Institution;m10211;0
m10212;223.28;289.7;250.15;24.36;No;Institution;m10212;0
m10213;8.81;39.15;28.45;11.5;No;Institution;m10213;0
m10214;2.95;61.05;16.74;16.78;No;Institution;m10214;0
m10215;74.76;162.89;116.15;24.33;No;Institution;m10215;0
m10216;1.8;12.52;7.2;2.75;No;Institution;m10216;0
m10217;3.23;3.23;3.23;;No;Institution;m10217;0
m10218;15.16;15.16;15.16;;No;Institution;m10218;0
m10219;0.59;171.95;6.38;21.48;No;Institution;m10219;0
m1022;6.32;33.1;19.71;18.94;No;Institution;m1022;0
m10220;15.92;39.94;28.22;12.02;No;Institution;m10220;0
m10221;27.89;35.44;31.15;3.88;No;Institution;m10221;0
m10222;1.15;132.19;22.22;38.04;No;Institution;m10222;0
m10223;51.7;109.09;87.85;31.47;No;Institution;m10223;0
m10224;149.53;149.94;149.74;0.29;No;Institution;m10224;0
m10225;81.03;92.37;86.7;8.02;No;Institution;m10225;0
m10226;4.6;15.89;10.6;4.68;No;Institution;m10226;0
m10227;8.98;8.98;8.98;;No;Institution;m10227;0
m10228;6.78;70.65;42.05;21.45;No;Institution;m10228;0
m10229;98.9;98.9;98.9;;No;Institution;m10229;0
m1023;2.34;127.9;29.8;41.48;No;Institution;m1023;0
m10230;784.89;784.89;784.89;;No;Institution;m10230;0
m10231;1011.07;1011.07;1011.07;;No;Institution;m10231;0
m10232;29.61;61.38;46.33;10.44;No;Institution;m10232;0
m10233;19.71;35.94;28.57;4.8;No;Institution;m10233;0
m10234;11.44;21.32;16.54;3.72;No;Institution;m10234;0
m10235;2.35;111.57;18.19;22.33;No;Institution;m10235;0
m10236;33.73;41.06;37.39;5.18;No;Institution;m10236;0
m10237;1.48;1.79;1.59;0.17;No;Institution;m10237;0
m10238;35.92;48.13;42.03;8.63;No;Institution;m10238;0
m10239;8.4;76.31;38.12;13.72;No;Institution;m10239;0
m1024;20.16;46.55;35.04;8.05;No;Institution;m1024;0
m10240;0.91;270.54;74.8;48.74;No;Institution;m10240;0
m10241;287.78;287.78;287.78;;No;Institution;m10241;0
m10242;169.16;169.16;169.16;;No;Institution;m10242;0
m10243;30.11;108.35;80.45;23.39;No;Institution;m10243;0
m10244;49.15;49.15;49.15;;No;Institution;m10244;0
m10245;8.71;25.36;12.31;5.84;No;Institution;m10245;0
m10246;9.65;63.18;23.47;17.95;No;Institution;m10246;0
m10247;74.01;114.05;99.0;17.94;No;Institution;m10247;0
m10248;15.93;18.53;17.23;1.84;No;Institution;m10248;0
m10249;14.89;15.0;14.94;0.08;No;Institution;m10249;0
m1025;34.46;50.85;41.34;5.37;No;Institution;m1025;0
m10250;1.45;34.38;6.43;9.14;No;Institution;m10250;0
m10251;17.16;27.23;22.2;7.12;No;Institution;m10251;0
m10252;44.03;44.03;44.03;;No;Institution;m10252;0
m10253;10.56;10.56;10.56;;No;Institution;m10253;0
m10254;109.44;109.44;109.44;;No;Institution;m10254;0
m10255;11.0;11.0;11.0;;No;Institution;m10255;0
m10256;133.29;171.29;147.58;15.07;No;Institution;m10256;0
m10257;71.23;169.29;121.93;29.11;No;Institution;m10257;0
m10258;10.49;91.38;40.46;36.04;No;Institution;m10258;0
m10259;11.01;70.49;50.55;15.13;No;Institution;m10259;0
m1026;39.54;111.79;72.4;16.33;No;Institution;m1026;0
m10260;9.94;23.61;18.2;4.47;No;Institution;m10260;0
m10261;7.08;7.08;7.08;;No;Institution;m10261;0
m10262;6.45;15.14;12.4;2.51;No;Institution;m10262;0
m10263;345.6;757.68;524.6;99.02;No;Institution;m10263;0
m10264;49.69;49.69;49.69;;No;Institution;m10264;0
m10265;2.65;64.15;33.4;43.49;No;Institution;m10265;0
m10266;19.92;21.29;20.6;0.97;No;Institution;m10266;0
m10267;4.72;87.01;28.7;23.87;No;Institution;m10267;0
m10268;71.95;71.95;71.95;;No;Institution;m10268;0
m10269;68.1;68.1;68.1;;No;Institution;m10269;0
m1027;48.27;357.12;280.0;116.05;No;Institution;m1027;0
m10270;156.47;306.9;222.75;67.25;No;Institution;m10270;0
m10271;9.18;18.51;14.36;3.48;No;Institution;m10271;0
m10272;32.38;415.67;170.53;107.99;No;Institution;m10272;0
m10273;0.81;1.94;1.59;0.42;No;Institution;m10273;0
m10274;157.12;157.12;157.12;;No;Institution;m10274;0
m10275;1.73;36.27;19.73;13.41;No;Institution;m10275;0
m10276;7.55;20.17;14.31;5.21;No;Institution;m10276;0
m10277;55.24;55.24;55.24;;No;Institution;m10277;0
m10278;20.0;29.75;23.67;3.58;No;Institution;m10278;0
m10279;1.37;67.67;31.15;21.61;No;Institution;m10279;0
m1028;5.86;14.66;10.79;2.89;No;Institution;m1028;0
m10280;2.9;125.81;54.33;49.79;No;Institution;m10280;0
m10281;22.26;221.67;64.99;38.87;No;Institution;m10281;0
m10282;0.43;27.32;17.52;6.01;No;Institution;m10282;0
m10283;11.29;11.29;11.29;;No;Institution;m10283;0
m10284;242.5;242.5;242.5;;No;Institution;m10284;0
m10285;2.87;13.3;8.09;7.38;No;Institution;m10285;0
m10286;6.92;7.78;7.35;0.61;No;Institution;m10286;0
m10287;18.51;27.51;21.34;2.95;No;Institution;m10287;0
m10288;21.68;30.13;26.21;3.0;No;Institution;m10288;0
m10289;13.79;30.02;23.12;5.77;No;Institution;m10289;0
m1029;6.06;50.23;19.12;17.59;No;Institution;m1029;0
m10290;86.29;110.6;98.44;17.19;No;Institution;m10290;0
m10291;61.95;77.63;71.52;8.39;No;Institution;m10291;0
m10292;22.15;75.78;48.96;37.92;No;Institution;m10292;0
m10293;74.72;74.72;74.72;;No;Institution;m10293;0
m10294;2.53;110.79;32.07;39.42;No;Institution;m10294;0
m10295;82.7;85.03;83.86;1.65;No;Institution;m10295;0
m10296;119.21;119.21;119.21;;No;Institution;m10296;0
m10297;27.05;59.82;41.74;10.99;No;Institution;m10297;0
m10298;43.25;46.14;44.7;2.04;No;Institution;m10298;0
m10299;18.71;56.23;42.86;14.18;No;Institution;m10299;0
m103;11.12;11.12;11.12;;No;Institution;m103;0
m1030;128.1;128.1;128.1;;No;Institution;m1030;0
m10300;0.79;120.83;28.57;30.86;No;Institution;m10300;0
m10301;36.98;36.98;36.98;;No;Institution;m10301;0
m10302;61.19;109.45;78.02;21.85;No;Institution;m10302;0
m10303;25.45;60.67;47.54;15.79;No;Institution;m10303;0
m10304;10.79;22.58;18.02;4.86;No;Institution;m10304;0
m10305;38.45;38.45;38.45;;No;Institution;m10305;0
m10306;32.37;47.91;39.65;6.55;No;Institution;m10306;0
m10307;10.03;13.27;11.65;2.29;No;Institution;m10307;0
m10308;1.88;39.69;13.82;17.83;No;Institution;m10308;0
m10309;44.88;54.41;49.64;6.74;No;Institution;m10309;0
m1031;5.32;152.46;67.23;52.02;No;Institution;m1031;0
m10310;64.75;185.06;132.58;52.48;No;Institution;m10310;0
m10311;1.99;167.84;52.01;45.61;No;Institution;m10311;0
m10312;49.52;214.91;92.32;69.6;No;Institution;m10312;0
m10313;643.74;643.74;643.74;;No;Institution;m10313;0
m10314;1.08;110.56;64.79;38.23;No;Institution;m10314;0
m10315;2.82;124.9;33.88;29.09;No;Institution;m10315;0
m10316;82.57;82.57;82.57;;No;Institution;m10316;0
m10317;17.32;33.45;24.91;5.23;No;Institution;m10317;0
m10318;195.01;269.67;224.85;34.23;No;Institution;m10318;0
m10319;41.55;41.55;41.55;;No;Institution;m10319;0
m1032;2.38;122.93;16.71;35.52;No;Institution;m1032;0
m10320;40.51;40.51;40.51;;No;Institution;m10320;0
m10321;6.04;8.07;7.02;1.02;No;Institution;m10321;0
m10322;17.34;17.34;17.34;;No;Institution;m10322;0
m10323;8.0;14.84;11.45;1.59;No;Institution;m10323;0
m10324;2.35;81.88;23.6;28.25;No;Institution;m10324;0
m10325;130.6;130.6;130.6;;No;Institution;m10325;0
m10326;12.0;20.03;15.94;3.49;No;Institution;m10326;0
m10327;6.78;108.55;64.85;23.77;No;Institution;m10327;0
m10328;303.72;318.6;311.16;10.52;No;Institution;m10328;0
m10329;444.51;756.27;635.44;136.84;No;Institution;m10329;0
m1033;46.22;47.71;46.94;0.75;No;Institution;m1033;0
m10330;12.32;12.32;12.32;;No;Institution;m10330;0
m10331;5.25;23.96;14.6;13.23;No;Institution;m10331;0
m10332;44.16;55.43;51.37;6.26;No;Institution;m10332;0
m10333;38.78;38.78;38.78;;No;Institution;m10333;0
m10334;5.4;5.4;5.4;;No;Institution;m10334;0
m10335;2.08;2.08;2.08;;No;Institution;m10335;0
m10336;34.16;46.89;38.84;4.4;No;Institution;m10336;0
m10337;173.87;185.01;178.22;5.96;No;Institution;m10337;0
m10338;32.91;56.09;46.41;12.05;No;Institution;m10338;0
m10339;43.74;64.92;51.13;6.21;No;Institution;m10339;0
m1034;7.14;13.69;9.92;3.39;No;Institution;m1034;0
m10340;4.91;5.82;5.36;0.64;No;Institution;m10340;0
m10341;12.74;12.74;12.74;;No;Institution;m10341;0
m10342;76.12;76.12;76.12;;No;Institution;m10342;0
m10343;2.03;2.14;2.08;0.08;No;Institution;m10343;0
m10344;74.96;74.96;74.96;;No;Institution;m10344;0
m10345;7.09;10.8;8.94;2.62;No;Institution;m10345;0
m10346;8.25;10.26;9.25;1.42;No;Institution;m10346;0
m10347;-383.0;383.0;64.82;399.12;No;Institution;m10347;0
m10348;41.31;41.31;41.31;;No;Institution;m10348;0
m10349;26.16;31.5;28.76;2.67;No;Institution;m10349;0
m1035;169.07;169.07;169.07;;No;Institution;m1035;0
m10350;12.55;12.55;12.55;;No;Institution;m10350;0
m10351;-236.0;236.0;65.61;261.93;No;Institution;m10351;0
m10352;41.67;93.63;64.76;16.68;No;Institution;m10352;0
m10353;21.6;127.34;50.48;51.35;No;Institution;m10353;0
m10354;1.62;1165.03;681.33;347.08;No;Institution;m10354;0
m10355;4.02;124.17;46.22;43.08;No;Institution;m10355;0
m10356;67.76;169.44;112.32;37.48;No;Institution;m10356;0
m10357;50.64;50.64;50.64;;No;Institution;m10357;0
m10358;15.83;87.17;48.48;34.49;No;Institution;m10358;0
m10359;773.16;773.16;773.16;;No;Institution;m10359;0
m1036;16.05;16.05;16.05;;No;Institution;m1036;0
m10360;6.55;50.55;35.34;12.14;No;Institution;m10360;0
m10361;8.77;38.59;18.72;9.45;No;Institution;m10361;0
m10362;99.28;207.93;149.59;51.08;No;Institution;m10362;0
m10363;7.61;48.87;28.24;29.18;No;Institution;m10363;0
m10364;17.03;29.19;23.11;8.6;No;Institution;m10364;0
m10365;3.35;10.84;6.83;1.98;No;Institution;m10365;0
m10366;-181.0;255.97;85.32;233.67;No;Institution;m10366;0
m10367;322.5;905.2;650.12;187.75;No;Institution;m10367;0
m10368;164.63;164.63;164.63;;No;Institution;m10368;0
m10369;4.17;113.71;50.87;51.34;No;Institution;m10369;0
m1037;31.34;31.34;31.34;;No;Institution;m1037;0
m10370;41.89;41.89;41.89;;No;Institution;m10370;0
m10371;13.43;13.43;13.43;;No;Institution;m10371;0
m10372;13.37;164.19;88.78;106.65;No;Institution;m10372;0
m10373;46.85;46.85;46.85;;No;Institution;m10373;0
m10374;22.52;22.52;22.52;;No;Institution;m10374;0
m10375;1.03;138.41;55.01;38.94;No;Institution;m10375;0
m10376;31.78;77.31;58.69;14.6;No;Institution;m10376;0
m10377;1.79;20.68;13.98;6.57;No;Institution;m10377;0
m10378;51.9;71.46;59.82;10.3;No;Institution;m10378;0
m10379;11.71;11.71;11.71;;No;Institution;m10379;0
m1038;24.16;24.16;24.16;;No;Institution;m1038;0
m10380;17.18;121.77;69.47;73.96;No;Institution;m10380;0
m10381;31.03;31.03;31.03;;No;Institution;m10381;0
m10382;49.86;49.86;49.86;;No;Institution;m10382;0
m10383;2.97;116.67;55.85;34.13;No;Institution;m10383;0
m10384;35.28;73.64;55.96;15.76;No;Institution;m10384;0
m10385;11.96;128.46;85.15;21.09;No;Institution;m10385;0
m10386;9.38;10.0;9.69;0.44;No;Institution;m10386;0
m10387;86.22;90.17;88.2;2.79;No;Institution;m10387;0
m10388;43.18;43.18;43.18;;No;Institution;m10388;0
m10389;26.9;29.29;28.1;1.69;No;Institution;m10389;0
m1039;143.33;143.33;143.33;;No;Institution;m1039;0
m10390;17.87;323.43;128.08;169.64;No;Institution;m10390;0
m10391;-100.0;191.11;19.63;57.57;No;Institution;m10391;0
m10392;4.16;4.16;4.16;;No;Institution;m10392;0
m10393;191.05;191.05;191.05;;No;Institution;m10393;0
m10394;32.59;32.59;32.59;;No;Institution;m10394;0
m10395;0.98;1.57;1.3;0.21;No;Institution;m10395;0
m10396;28.95;83.63;59.27;11.57;No;Institution;m10396;0
m10397;18.18;59.95;44.36;9.82;No;Institution;m10397;0
m10398;2.68;2.68;2.68;;No;Institution;m10398;0
m10399;14.8;46.08;34.5;17.15;No;Institution;m10399;0
m104;63.36;63.36;63.36;;No;Institution;m104;0
